--- Distance Matrix ---
From/To,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0,153,509,706,966,581,455,70,160,371,157,566,341,397
2,153,0,422,663,997,598,507,196,311,478,309,581,416,375
3,509,422,0,288,743,390,437,491,644,880,618,373,455,211
4,706,663,288,0,490,264,410,663,804,1069,767,259,499,309
5,966,997,743,490,0,400,513,901,989,1261,947,417,635,636
6,581,598,390,264,400,0,167,521,634,909,592,18,284,239
7,455,507,437,410,513,167,0,388,481,756,439,162,124,232
8,70,196,491,663,901,521,388,0,154,406,132,507,273,354
9,160,311,644,804,989,634,481,154,0,276,43,622,357,497
10,371,478,880,1069,1261,909,756,406,276,0,318,898,632,760
11,157,309,618,767,947,592,439,132,43,318,0,581,315,463
12,566,581,373,259,417,18,162,507,622,898,581,0,275,221
13,341,416,455,499,635,284,124,273,357,632,315,275,0,246
14,397,375,211,309,636,239,232,354,497,760,463,221,246,0

--- Optimal Path ---
Algorithm,DP
Best Tour Length,3316.00
Step,City ID,Latitude,Longitude
1,1,16.78,96.17
2,10,14.08,98.20
3,9,16.50,97.63
4,11,16.88,97.63
5,8,17.33,96.48
6,13,19.68,97.22
7,7,20.78,97.03
8,12,21.87,95.98
9,6,22.00,96.08
10,5,25.38,97.40
11,4,22.65,93.62
12,3,20.15,92.90
13,14,20.15,94.92
14,2,16.78,94.73
15,1,16.78,96.17
